# Tag name          ;  color
Voice               ; #00aa7f
TRS                 ; #ff510c
Radio Direction Finding; #aaaa00
Ham                 ; #00aa7f
Aircraft            ; #aaffff
Schuylkill County   ; #eae788
Public Works        ; #c0629f
Data                ; #00ffff
Satellite           ; #905353
Transportation      ; #5bc03f
Utilities           ; #4d5fc0
Digital/DMR         ; #aa55ff

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
   464912500; HACC Lancaster Facilities & Operations; Narrow FM           ;      10000; Voice
   464925000; Willow Valley Lakes Campus 1 - Ops/Security; Narrow FM           ;      10000; Voice
   464950000; Triangle Comms Site 001  ; Narrow FM           ;      10000; TRS
   464962500; Sight and Sound Theatre (Queue & Stage); Narrow FM           ;      10000; Voice
   464975000; Kellogs                  ; Narrow FM           ;      10000; Voice
   464975000; Willow Valley Manor Campus 1 - Ops/Security; Narrow FM           ;      10000; Voice
   466050000; Millersville Ticket Sales; Narrow FM           ;      10000; Voice
   466487500; Millersville SMC Information Desk; Narrow FM           ;      10000; Voice
   467562500; FRS Channel 8            ; Narrow FM           ;       5000; Voice
   467587500; FRS Channel 9            ; Narrow FM           ;       5000; Voice
   467612500; FRS Channel 10           ; Narrow FM           ;       5000; Voice
   467637500; FRS Channel 11           ; Narrow FM           ;       5000; Voice
   467662500; FRS Channel 12           ; Narrow FM           ;       5000; Voice
   467687500; FRS Channel 13           ; Narrow FM           ;       5000; Voice
   467712500; FRS Channel 14           ; Narrow FM           ;       5000; Voice
   467850000; Cracker Barrel           ; Narrow FM           ;      10000; Voice
   469775000; Millersville Intramurals ; Narrow FM           ;      10000; Voice
   476012500; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   476050000; LCWC Site 005 COW (Portable site); Narrow FM           ;      10000; TRS
   476087500; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   476162500; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   476275000; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   476350000; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   476425000; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   476462500; LCWC Site 004 South Simulcast; Narrow FM           ;      10000; TRS
   476537500; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   476575000; LCWC Site 005 COW (Portable site); Narrow FM           ;      10000; TRS
   476612500; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   476687500; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   476725000; LCWC Site 004 South Simulcast; Narrow FM           ;      10000; TRS
   476800000; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   476875000; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   477062500; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   477100000; LCWC Site 005 COW (Portable site); Narrow FM           ;      10000; TRS
   477137500; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   477212500; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   477287500; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   477362500; LCWC Site 004 South Simulcast; Narrow FM           ;      10000; TRS
   477400000; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   477475000; LCWC Site 001 Central Simulcast; Narrow FM           ;      10000; TRS
   477550000; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   477625000; LCWC Site 005 COW (Portable site); Narrow FM           ;      10000; TRS
   477662500; LCWC Site 004 South Simulcast; Narrow FM           ;      10000; TRS
   477812500; LCWC Site 004 South Simulcast; Narrow FM           ;      10000; TRS
   477850000; LCWC Site 002 Northeast Simulcast; Narrow FM           ;      10000; TRS
   477925000; LCWC Site 004 South Simulcast; Narrow FM           ;      10000; TRS
   478075000; LCWC Site 003 Northwest Simulcast; Narrow FM           ;      10000; TRS
   478150000; LCWC Site 003 Northwest Simulcast; Narrow FM           ;      10000; TRS
   478337500; LCWC Site 003 Northwest Simulcast; Narrow FM           ;      10000; TRS
   478412500; LCWC Site 003 Northwest Simulcast; Narrow FM           ;      10000; TRS
   478600000; LCWC Site 003 Northwest Simulcast; Narrow FM           ;      10000; TRS
   478787500; LCWC Site 003 Northwest Simulcast; Narrow FM           ;      10000; TRS
   478862500; LCWC Site 003 Northwest Simulcast; Narrow FM           ;      10000; TRS
   502962500; PA Digital Site 006 New Holland; Narrow FM           ;      10000; TRS
   851275000; PASTARNet Site 71063 Lancaster (LANC63); Narrow FM           ;      10000; TRS
   851462500; PASTARNet Site 71033 Truce (LANC33); Narrow FM           ;      10000; TRS
   851537500; PASTARNet Site 71065 Lancaster (LANC65); Narrow FM           ;      10000; TRS
   851675000; PASTARNet Site 71006 Bowmansville (LANC06); Narrow FM           ;      10000; TRS
   851800000; PASTARNet Site 71033 Truce (LANC33); Narrow FM           ;      10000; TRS
   852137500; PASTARNet Site 71634 Gap (LANC634); Narrow FM           ;      10000; TRS
   852225000; PASTARNet Site 71006 Bowmansville (LANC06); Narrow FM           ;      10000; TRS
   852275000; PASTARNet Site 71634 Gap (LANC634); Narrow FM           ;      10000; TRS
   852350000; PASTARNet Site 71001 Cornwall (LANC01); Narrow FM           ;      10000; TRS
   852475000; PASTARNet Site 71064 Drumore (LANC64); Narrow FM           ;      10000; TRS
   852650000; PASTARNet Site 71641 Drumore (LANC641); Narrow FM           ;      10000; TRS
   852775000; PASTARNet Site 71001 Cornwall (LANC01); Narrow FM           ;      10000; TRS
   853287500; PASTARNet Site 71033 Truce (LANC33); Narrow FM           ;      10000; TRS
   853462500; PASTARNet Site 71062 Holtwood (LANC62); Narrow FM           ;      10000; TRS
   853625000; PASTARNet Site 71001 Cornwall (LANC01); Narrow FM           ;      10000; TRS
   853875000; PASTARNet Site 71001 Cornwall (LANC01); Narrow FM           ;      10000; TRS
   853962500; PASTARNet Site 71006 Bowmansville (LANC06); Narrow FM           ;      10000; TRS
   854462500; PASTARNet Site 71634 Gap (LANC634); Narrow FM           ;      10000; TRS
   927587500; N3TUQ CORNWALL LRTS      ; Narrow FM           ;      10000; Ham
   940263000; GSM900 Basestation       ; Narrow FM           ;      10000; Data
  1625500000; Iridium Satellites       ; Narrow FM           ;      10000; Satellite
